Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
200,9,5,17.7,1008.7,0,1,1
210,6,0,18.3,1009.0,0,1,1
210,6,0,17.9,1009.1,0,1,1
210,6,0,18.8,1009.7,0,1,1
210,4,60,20.8,1009.5,0,1,1
200,5,30,18.7,1009.9,0,1,1
100,3,0,17.4,1011.3,0,0,1
90,2,0,17.3,1011.1,0,0,1
160,1,0,17.3,1010.2,0,0,1
240,5,0,17.1,1011.1,0,1,1
290,4,0,17.3,1011.0,0,1,1
330,3,20,17.8,1010.6,0,1,1
210,9,250,20.1,1010.8,0,1,1
200,8,30,17.8,1011.1,0,1,1
240,2,10,16.5,1012.3,0,0,1
140,2,20,16.6,1012.1,1,0,1
210,14,0,17.0,1012.0,1,0,1
220,10,5,16.9,1012.5,1,0,1
240,10,10,16.6,1013.1,1,1,1
260,8,10,16.9,1013.7,1,1,1
270,8,30,16.8,1014.2,1,1,1
250,4,30,18.1,1014.6,1,1,1
230,7,30,20.0,1015.1,1,1,1
230,9,250,20.4,1015.2,1,1,1
210,9,250,20.4,1015.1,1,1,1
200,10,250,20.3,1015.2,1,1,1
200,11,250,20.2,1015.4,1,1,1
210,11,250,20.2,1015.4,1,1,1
210,9,250,19.4,1015.4,1,1,1
200,11,250,18.8,1015.3,1,1,1
220,10,250,17.8,1014.9,1,1,1
250,4,250,15.5,1014.6,1,0,1
220,5,10,16.0,1013.6,1,0,1
250,5,20,16.1,1013.4,1,0,1
260,2,20,15.9,1012.9,1,1,1
200,7,20,16.4,1013.1,1,1,1
220,9,20,17.3,1013.4,1,1,1
220,11,100,17.3,1013.1,1,1,1
220,11,30,17.8,1013.1,1,1,1
220,11,20,18.0,1012.8,1,1,1
220,12,30,18.2,1012.6,1,1,1
210,11,20,20.0,1012.1,1,1,1
220,15,20,19.1,1011.9,1,1,1
230,14,150,19.5,1011.7,1,1,1
230,14,250,19.3,1011.5,1,1,1
230,17,30,17.9,1011.3,1,1,1
250,14,60,17.3,1011.3,1,1,1
250,14,60,17.0,1011.6,1,1,1
260,9,100,14.2,1013.0,1,0,1
260,7,30,13.8,1013.0,1,0,1
270,7,250,13.1,1013.5,1,0,1
280,5,250,13.1,1013.7,1,0,1
260,7,250,13.8,1014.0,1,1,1
260,9,250,14.7,1013.9,1,1,1
260,9,250,16.2,1014.2,1,1,1
260,10,30,16.9,1014.4,1,1,1
240,11,30,17.9,1014.5,1,1,1
240,14,30,18.5,1014.4,1,1,1
240,13,60,19.1,1014.3,1,1,1
230,16,150,19.5,1014.1,1,1,1
230,15,150,19.6,1013.9,1,1,1
240,13,150,18.9,1013.6,1,1,1
240,14,150,17.9,1013.5,1,1,1
230,15,100,17.9,1013.4,1,1,1
270,9,60,17.1,1013.3,1,1,1
280,8,250,16.1,1013.6,1,1,1
270,9,250,14.9,1013.7,1,0,1
280,4,250,13.2,1012.6,1,0,1
320,1,250,12.2,1012.1,1,0,1
80,3,30,12.0,1011.2,1,0,1
100,2,100,12.1,1010.8,1,0,1
250,3,100,12.0,1010.6,1,1,1
90,3,250,13.8,1010.6,1,1,1
270,2,250,15.5,1010.4,1,1,1
220,2,250,17.1,1010.3,1,1,1
190,3,150,17.5,1010.0,1,1,1
200,7,150,17.7,1009.8,1,1,1
200,7,250,18.3,1009.4,1,1,1
190,9,250,17.5,1008.5,1,1,1
190,8,150,17.8,1008.1,1,1,1
200,9,150,17.3,1007.6,1,1,1
200,11,150,16.4,1007.0,1,1,1
200,9,150,16.4,1006.6,1,1,1
220,9,150,15.8,1006.0,1,1,1
220,7,250,15.3,1005.4,1,1,1
190,5,30,14.9,1005.0,1,0,1
150,4,150,14.2,1002.9,1,0,1
180,7,30,14.8,1001.4,1,0,1
180,12,30,14.7,1000.7,1,0,1
180,14,30,14.8,1000.1,1,0,1
160,9,150,13.5,999.1,1,0,1
140,9,150,13.7,998.6,1,1,1
140,10,100,14.7,997.8,1,1,1
140,8,60,14.4,997.4,1,1,1
150,17,20,14.4,996.7,1,1,1
150,16,10,14.6,995.9,1,1,1
120,11,20,14.8,995.6,1,1,1
140,12,10,15.4,994.7,1,1,1
180,15,5,16.2,993.7,1,1,1
180,19,10,16.9,993.2,1,1,1
190,17,10,17.4,993.1,1,1,1
210,12,10,17.5,993.1,1,1,1
220,10,20,17.5,993.0,1,1,1
200,13,30,17.1,992.8,1,1,1
210,16,20,16.4,992.8,1,1,1
200,15,10,16.2,993.4,1,0,1
230,13,60,15.1,992.6,0,0,1
260,10,30,15.0,992.9,0,0,1
260,12,20,15.3,993.5,0,1,1
250,11,30,15.6,994.3,0,1,1
270,10,30,15.6,994.9,0,1,1
240,10,20,15.9,995.5,0,1,1
240,10,20,16.1,995.9,0,1,1
270,8,20,17.2,996.5,0,1,1
270,17,20,15.3,997.3,0,1,1
270,15,30,16.5,997.8,0,1,1
260,15,30,15.7,998.9,0,1,1
270,14,30,15.2,1000.1,0,1,1
270,12,250,14.6,1005.5,0,0,1
270,11,150,13.9,1008.8,0,0,1
260,7,250,12.9,1009.1,0,0,1
270,6,250,16.5,1012.1,0,1,1
220,12,150,16.8,1013.1,0,1,1
220,12,100,17.0,1013.0,0,1,1
220,9,250,16.4,1012.9,0,1,1
180,12,20,15.5,1011.6,0,0,1
190,18,100,15.8,1010.8,1,0,0
180,17,20,15.8,1010.4,1,0,0
180,14,20,15.8,1009.4,1,0,0
180,17,30,15.9,1008.1,1,0,0
180,20,30,15.9,1007.1,1,1,0
170,16,30,16.0,1005.8,1,1,0
180,17,30,16.3,1005.4,1,1,0
180,19,30,16.6,1004.1,1,1,0
200,22,20,16.5,1002.4,1,1,0
260,9,30,14.6,1003.3,1,0,0
250,9,30,15.0,1003.8,1,0,0
260,8,60,14.9,1004.1,1,0,1
240,9,60,14.7,1004.1,1,0,1
250,8,30,15.1,1005.2,1,0,1
250,9,30,15.2,1005.6,1,0,1
250,11,30,15.1,1006.3,1,1,1
260,9,100,15.1,1007.3,1,1,1
250,8,250,16.2,1008.0,1,1,1
240,6,250,17.8,1008.4,1,1,1
220,9,30,18.4,1008.9,1,1,1
210,10,250,18.1,1009.1,1,1,1
220,10,250,19.3,1009.2,1,1,1
200,11,250,18.9,1009.0,1,1,1
190,14,250,18.1,1008.9,1,1,1
200,14,250,17.6,1008.9,1,1,1
200,13,100,17.3,1008.8,1,1,1
200,14,30,16.7,1008.4,1,1,1
190,13,30,16.3,1007.8,1,1,1
200,18,30,16.4,1007.5,1,1,1
200,17,20,16.3,1007.7,1,0,1
200,15,20,16.2,1007.7,1,0,1
200,15,30,15.9,1007.4,1,0,1
200,18,30,15.9,1007.0,1,0,1
200,21,100,15.8,1004.8,1,0,1
200,21,30,15.7,1004.4,1,0,1
190,23,30,15.6,1003.8,1,1,1
200,21,20,15.4,1003.2,1,1,1
210,17,20,14.3,1003.2,1,1,1
210,16,30,14.5,1003.8,1,1,1
190,17,20,14.5,1003.4,1,1,1
210,14,30,14.7,1003.9,1,1,1
220,18,30,16.2,1003.9,1,1,1
230,24,60,16.8,1004.3,1,1,1
230,18,250,17.7,1004.7,1,1,1
230,20,250,17.7,1004.7,1,1,1
240,15,60,17.3,1004.7,1,1,1
230,22,250,16.8,1004.6,1,1,1
230,23,60,16.0,1004.5,1,1,1
240,18,100,14.2,1005.0,1,1,1
240,20,30,15.0,1005.4,1,0,1
250,21,30,14.1,1005.6,1,0,1
260,18,150,14.5,1005.7,1,0,1
270,15,60,14.2,1006.1,1,0,1
280,11,150,14.3,1007.7,1,0,1
290,11,100,14.6,1008.4,1,0,1
310,9,60,14.3,1009.6,1,1,1
310,9,30,14.6,1010.7,1,1,1
320,11,30,14.9,1011.7,1,1,1
320,12,100,15.8,1012.6,1,1,1
340,12,60,16.6,1013.5,1,1,1
330,13,60,16.8,1014.3,1,1,1
330,15,100,16.3,1015.3,1,1,1
330,16,100,17.0,1016.5,1,1,1
330,16,100,17.0,1017.4,1,1,1
330,16,100,17.0,1018.0,1,1,1
330,18,250,16.4,1018.9,1,1,1
340,17,250,15.2,1019.5,1,1,1
350,13,250,14.8,1020.2,1,1,1
340,10,250,13.5,1020.8,1,1,1
330,5,250,12.0,1021.5,1,0,1
350,9,250,11.6,1022.2,1,0,1
330,5,250,10.1,1023.4,1,0,1
260,5,250,9.2,1024.0,1,0,1
350,3,250,8.9,1025.0,1,0,1
80,3,250,8.6,1025.4,1,1,1
